from,to,id_form,id_to,type(r),weight
天齐锂业,锂精矿,13,564,主营产品,0.640951
赢合科技,叠片机,92,625,主营产品,0.105899
亿纬锂能,锂一次电池,136,628,主营产品,0.001
当升科技,锰酸锂,302,642,主营产品,0.000166
赣锋锂业,丁基锂,217,653,主营产品,0.094487
赢合科技,锂电池专用设备,92,832,主营产品,0.977747
宝泰隆,三元材料及制品,318,833,主营产品,0.001
璞泰来,锂电设备业务,195,1013,主营产品,0.191157
鹏辉能源,锂铁电池,140,1065,主营产品,0.042683
金银河,混合设备,146,1081,主营产品,0.279859
江特电机,锂离子电池用材料,216,1121,主营产品,0.028162
多氟多,六氟磷酸锂,290,1147,主营产品,0.029949
融捷股份,锂盐销售,142,1173,主营产品,0.060854
赣锋锂业,氟化锂,217,1241,主营产品,0.171365
先导智能,锂电池装备,233,1406,主营产品,0.753292
中科电气,锂离子电池用负极材料,50,1454,主营产品,0.549381
南都电源,锂电池,190,1496,主营产品,0.058115
天齐锂业,锂化合物,13,1568,主营产品,0.531014
江特电机,锂云母,216,1585,主营产品,0.008309
融捷股份,锂电设备,142,1683,主营产品,0.263653
赣锋锂业,锂盐系列,217,1703,主营产品,0.882
天齐锂业,氢氧化锂,13,1719,主营产品,0.172545
赣锋锂业,金属锂系列,217,1721,主营产品,0.436583
天齐锂业,电池级碳酸锂,13,1722,主营产品,0.534831
新宙邦,锂电池化学品,96,1805,主营产品,0.449176
赢合科技,卷绕机,92,1824,主营产品,0.242398
国轩高科,磷酸铁锂,278,1830,主营产品,0.000672
融捷股份,锂精矿销售,142,1834,主营产品,0.094262
赣锋锂业,锂材,217,1901,主营产品,0.403622
江特电机,碳酸锂,216,1985,主营产品,0.043703
先导智能,锂电池设备,233,1994,主营产品,0.06602
金银河,锂电池设备,146,1994,主营产品,0.05349
国轩高科,锂离子电池应急电源,278,2029,主营产品,0.001
赢合科技,注液机,92,2044,主营产品,0.027745
亿纬锂能,锂原电池,136,2079,主营产品,0.876959
赣锋锂业,锂电池系列,217,2106,主营产品,0.075248
天赐材料,锂离子电池制造,141,2195,主营产品,0.001
亿纬锂能,锂电池储能系统,136,2216,主营产品,0.001
天奈科技,碳纳米管粉体,225,2231,主营产品,0.008332
南都电源,储能,190,2300,主营产品,0.027117
杉杉股份,储能,167,2300,主营产品,0.000351
宝泰隆,磷酸锰铁锂及制品,318,2376,主营产品,0.001
天齐锂业,锂矿,13,2468,主营产品,0.646962
宁德时代,锂电池材料,266,2505,主营产品,0.103676
江特电机,锂电池材料,216,2505,主营产品,0.021443
杉杉股份,锂电池材料,167,2505,主营产品,0.655615
科达制造,锂电池材料,145,2505,主营产品,0.009814
亿纬锂能,锂离子蓄电池组,136,2520,主营产品,0.001
天齐锂业,无水氯化锂,13,2548,主营产品,0.128156
鹏辉能源,一次锂离子电池,140,2580,主营产品,0.034778
先导智能,锂电池生产装备,233,2629,主营产品,0.657193
亿纬锂能,锂离子电池,136,2645,主营产品,0.131865
赣锋锂业,氯化锂,217,2730,主营产品,0.099969
宝泰隆,石墨烯制品,318,2791,主营产品,0.001
先导智能,锂电池智能装备,233,2797,主营产品,0.709721
盛新锂能,锂盐加工销售业务,23,2859,主营产品,0.387503
天赐材料,锂离子电池材料,141,2870,主营产品,0.13539
当升科技,锂电正极材料,302,2952,主营产品,0.985314
亿纬锂能,锂亚电池,136,2965,主营产品,0.438084
宝泰隆,磷酸铁锂及制品,318,2973,主营产品,0.001
鹏辉能源,一次锂电池,140,3023,主营产品,0.038362
璞泰来,电解液,195,3080,主营产品,0.133705
杉杉股份,电解液,167,3080,主营产品,0.076598
新宙邦,锂离子电池电解液,96,3170,主营产品,0.001
鹏辉能源,二次锂离子电池,140,3199,主营产品,0.773139
天齐锂业,锂衍生,13,3280,主营产品,0.316736
国轩高科,锂离子电池及其材料,278,3311,主营产品,0.001
鹏辉能源,锂锰电池,140,3316,主营产品,0.034203
亿纬锂能,锂锰电池,136,3316,主营产品,0.014926
鹏辉能源,一次锂电电池,140,3407,主营产品,0.085714
赣锋锂业,碳酸锂系列,217,3441,主营产品,0.239935
杉杉股份,锂电材料,167,3459,主营产品,0.472339
科达制造,锂电材料,145,3459,主营产品,0.042681
中科电气,锂电材料,50,3459,主营产品,0.682876
赣锋锂业,深加工锂化合物系列,217,3468,主营产品,0.619158
亿纬锂能,锂聚合物组合电池,136,3549,主营产品,0.341234
多氟多,新能源汽车,290,3616,主营产品,1.10E-05
杉杉股份,新能源汽车,167,3616,主营产品,0.017265
天齐锂业,高纯碳酸锂,13,3651,主营产品,0.023361
金银河,行星搅拌机,146,3677,主营产品,0.04263
当升科技,钴酸锂,302,3685,主营产品,0.960226
亿纬锂能,锂二次电池,136,3694,主营产品,0.001
比亚迪,汽车,102,3729,主营产品,0.511159
比亚迪,新能源,102,3731,主营产品,0.094798
璞泰来,涂布机,195,3732,主营产品,0.338704
金银河,涂布机,146,3732,主营产品,0.053117
赢合科技,涂布机,92,3732,主营产品,0.193966
多氟多,动力锂电池,290,3771,主营产品,0.062255
新宙邦,锂离子电池化学品,96,3798,主营产品,0.304893
中科电气,锂离子电池负极材料,50,3801,主营产品,0.621024
金银河,锂电池生产设备,146,3835,主营产品,0.26197
赢合科技,锂电池生产设备,92,3835,主营产品,0.922486
中矿资源,锂盐,303,4022,主营产品,0.359661
天齐锂业,锂盐,13,4022,主营产品,0.341903
国轩高科,动力锂电池组,278,4056,主营产品,0.856392
融捷股份,锂盐加工,142,4129,主营产品,0.012602
天齐锂业,工业级碳酸锂,13,4135,主营产品,0.115853
