from,to,id_form,id_to,rel
锂矿,锂精矿,332,564,相关产品
上游（原材料）,锂化合物,320,1568,相关产品
氢氧化锂,氢氧化锂,331,1719,相关产品
碳酸锂,电池级碳酸锂,334,1722,相关产品
锂矿,锂矿,332,2468,相关产品
锂盐,无水氯化锂,322,2548,相关产品
锂盐,锂衍生,322,3280,相关产品
碳酸锂,高纯碳酸锂,334,3651,相关产品
锂盐,锂盐,322,4022,相关产品
碳酸锂,工业级碳酸锂,334,4135,相关产品
锂盐,锂盐加工销售业务,322,2859,相关产品
锂电池负极材料,锂离子电池用负极材料,346,1454,相关产品
材料,锂电材料,338,3459,相关产品
锂电池负极材料,锂离子电池负极材料,346,3801,相关产品
叠片机,叠片机,373,625,相关产品
锂电设备,锂电池专用设备,367,832,相关产品
卷绕机,卷绕机,372,1824,相关产品
注液机,注液机,374,2044,相关产品
涂布机,涂布机,369,3732,相关产品
锂电设备,锂电池生产设备,367,3835,相关产品
上游（原材料）,锂电池化学品,320,1805,相关产品
锂电池电解液,锂离子电池电解液,384,3170,相关产品
锂电池电解液材料,锂离子电池化学品,354,3798,相关产品
新能源汽车,汽车,392,3729,相关产品
新能源汽车,新能源,392,3731,相关产品
下游（电池制造）,锂一次电池,391,628,相关产品
下游（电池制造）,锂原电池,391,2079,相关产品
储能领域,锂电池储能系统,393,2216,相关产品
锂电池模组及PACK,锂离子蓄电池组,381,2520,相关产品
下游（电池制造）,锂离子电池,391,2645,相关产品
下游（电池制造）,锂亚电池,391,2965,相关产品
下游（电池制造）,锂锰电池,391,3316,相关产品
下游（电池制造）,锂聚合物组合电池,391,3549,相关产品
下游（电池制造）,锂二次电池,391,3694,相关产品
下游（电池制造）,锂铁电池,391,1065,相关产品
下游（电池制造）,一次锂离子电池,391,2580,相关产品
下游（电池制造）,一次锂电池,391,3023,相关产品
下游（电池制造）,二次锂离子电池,391,3199,相关产品
下游（电池制造）,一次锂电电池,391,3407,相关产品
下游（电池制造）,锂离子电池制造,391,2195,相关产品
材料,锂离子电池材料,338,2870,相关产品
锂盐,锂盐销售,322,1173,相关产品
锂电设备,锂电设备,367,1683,相关产品
锂矿,锂精矿销售,332,1834,相关产品
锂盐,锂盐加工,322,4129,相关产品
材料,锂电池材料,338,2505,相关产品
锂电池隔膜材料,锂电池材料,365,2505,相关产品
锂电池电解液材料,锂电池材料,354,2505,相关产品
锂电池负极材料,锂电池材料,346,2505,相关产品
锂电池正极材料,锂电池材料,339,2505,相关产品
混合设备,混合设备,375,1081,相关产品
锂电设备,锂电池设备,367,1994,相关产品
搅拌机,行星搅拌机,368,3677,相关产品
储能领域,储能,393,2300,相关产品
锂电池电解液,电解液,384,3080,相关产品
电解液溶剂,电解液,355,3080,相关产品
新能源汽车,新能源汽车,392,3616,相关产品
下游（电池制造）,锂电池,391,1496,相关产品
固态锂电池,锂电池,390,1496,相关产品
磷酸铁锂电池,锂电池,388,1496,相关产品
锂电池电解液,锂电池,384,1496,相关产品
锂电池模组及PACK,锂电池,381,1496,相关产品
锂电设备,锂电设备业务,367,1013,相关产品
上游（原材料）,锂离子电池用材料,320,1121,相关产品
原料矿产,锂云母,321,1585,相关产品
碳酸锂,碳酸锂,334,1985,相关产品
锂盐,丁基锂,322,653,相关产品
锂盐,氟化锂,322,1241,相关产品
锂盐,锂盐系列,322,1703,相关产品
上游（原材料）,金属锂系列,320,1721,相关产品
上游（原材料）,锂材,320,1901,相关产品
下游（电池制造）,锂电池系列,391,2106,相关产品
锂盐,氯化锂,322,2730,相关产品
碳酸锂,碳酸锂系列,334,3441,相关产品
锂盐,深加工锂化合物系列,322,3468,相关产品
碳纳米管,碳纳米管粉体,350,2231,相关产品
锂电设备,锂电池装备,367,1406,相关产品
锂电自动化成套设备（系统）,锂电池生产装备,379,2629,相关产品
锂电自动化成套设备（系统）,锂电池智能装备,379,2797,相关产品
磷酸铁锂,磷酸铁锂,341,1830,相关产品
下游（电池制造）,锂离子电池应急电源,391,2029,相关产品
材料,锂离子电池及其材料,338,3311,相关产品
锂电池模组及PACK,动力锂电池组,381,4056,相关产品
电解质,六氟磷酸锂,356,1147,相关产品
六氟磷酸锂,六氟磷酸锂,357,1147,相关产品
下游（电池制造）,动力锂电池,391,3771,相关产品
锂电池正极材料,锰酸锂,339,642,相关产品
锰酸锂,锰酸锂,343,642,相关产品
锂电池正极材料,锂电正极材料,339,2952,相关产品
镍酸锂,钴酸锂,344,3685,相关产品
钴酸锂,钴酸锂,342,3685,相关产品
三元材料,三元材料及制品,340,833,相关产品
磷酸铁锂,磷酸锰铁锂及制品,341,2376,相关产品
石墨烯,石墨烯制品,351,2791,相关产品
磷酸铁锂,磷酸铁锂及制品,341,2973,相关产品
