from,to,id_form,id_to,rel
上游（原材料）,中游（四大材料+设备）,320,380,上游
原料矿产,上游（原材料）,321,320,属于
锂盐,原料矿产,322,321,属于
铜箔材,其他辅材,323,330,构成
分散剂,其他辅材,324,330,构成
锂电池铝塑膜,其他辅材,325,330,构成
锂电池粘结剂,其他辅材,326,330,构成
电池壳（电芯壳）,其他辅材,327,330,构成
极耳,其他辅材,328,330,构成
铝箔材,其他辅材,329,330,构成
其他辅材,锂电池隔膜材料,330,365,属于
氢氧化锂,锂盐,331,322,属于
锂矿,氢氧化锂,332,331,提炼
盐湖卤水,氢氧化锂,333,331,提炼
碳酸锂,锂盐,334,322,属于
钴矿,原料矿产,335,321,属于
锰矿,原料矿产,336,321,属于
镍矿,原料矿产,337,321,属于
材料,上游（原材料）,338,320,属于
锂电池正极材料,材料,339,338,属于
三元材料,锂电池正极材料,340,339,构成
磷酸铁锂,锂电池正极材料,341,339,构成
钴酸锂,锂电池正极材料,342,339,构成
锰酸锂,锂电池正极材料,343,339,构成
镍酸锂,锂电池正极材料,344,339,构成
富锂锰基固溶体,锂电池正极材料,345,339,构成
锂电池负极材料,材料,346,338,属于
人造石墨,锂电池负极材料,347,346,构成
天然石墨,锂电池负极材料,348,346,构成
改性石墨,锂电池负极材料,349,346,构成
碳纳米管,锂电池负极材料,350,346,构成
石墨烯,锂电池负极材料,351,346,构成
硅碳负极,锂电池负极材料,352,346,构成
钛酸锂,锂电池负极材料,353,346,构成
锂电池电解液材料,材料,354,338,属于
电解液溶剂,锂电池电解液材料,355,354,构成
电解质,锂电池电解液材料,356,354,构成
六氟磷酸锂,锂电池电解液材料,357,354,构成
双氟磺酰亚胺锂,锂电池电解液材料,358,354,构成
添加剂,锂电池电解液材料,359,354,构成
耐高低温添加剂,锂电池电解液材料,360,354,构成
成膜添加剂,锂电池电解液材料,361,354,构成
导电添加剂,锂电池电解液材料,362,354,构成
耐过充过放添加剂,锂电池电解液材料,363,354,构成
阻燃剂,锂电池电解液材料,364,354,构成
锂电池隔膜材料,材料,365,338,属于
聚烯烃,锂电池隔膜材料,366,365,构成
锂电设备,上游（原材料）,367,320,属于
搅拌机,锂电设备,368,367,构成
涂布机,锂电设备,369,367,构成
锟压机,锂电设备,370,367,构成
分切机,锂电设备,371,367,构成
卷绕机,锂电设备,372,367,构成
叠片机,锂电设备,373,367,构成
注液机,锂电设备,374,367,构成
混合设备,锂电设备,375,367,构成
干燥设备,锂电设备,376,367,构成
锂电装配设备（系统）,锂电设备,377,367,构成
锂电化成及检测设备（系统）,锂电设备,378,367,构成
锂电自动化成套设备（系统）,锂电设备,379,367,构成
中游（四大材料+设备）,下游（电池制造）,380,391,上游
锂电池模组及PACK,中游（四大材料+设备）,381,380,属于
锂电芯组成,中游（四大材料+设备）,382,380,属于
锂电池隔膜,锂电芯组成,383,382,构成
锂电池电解液,锂电芯组成,384,382,构成
锂电池正极,锂电芯组成,385,382,构成
锂电池负极,锂电芯组成,386,382,构成
电池管理系统（BMS）,中游（四大材料+设备）,387,380,属于
磷酸铁锂电池,固态锂电池,388,390,发展趋势
磷酸铁锂电池,中游（四大材料+设备）,388,380,属于
三元电池,固态锂电池,389,390,发展趋势
三元电池,中游（四大材料+设备）,389,380,属于
固态锂电池,中游（四大材料+设备）,390,380,属于
新能源汽车,下游（电池制造）,392,391,属于
储能领域,下游（电池制造）,393,391,属于
消费电子,下游（电池制造）,394,391,属于
电动工具,下游（电池制造）,395,391,属于
锂电池回收,下游（电池制造）,396,391,属于
