name,id,up,mid,down,communityId,pagerank
锂精矿,564,1,0,0,400,0.46396849916023636
叠片机,625,1,0,0,3556,0.5110749158214004
锂一次电池,628,0,0,1,396,0.509245977450813
锰酸锂,642,1,0,0,105,0.6356868030493509
丁基锂,653,1,0,0,400,0.5142194418580448
锂电池专用设备,832,1,0,0,3556,0.50333285434282
三元材料及制品,833,1,0,0,326,0.46105080251374786
锂电设备业务,1013,1,0,0,326,0.494159958181368
锂铁电池,1065,0,0,1,396,0.6829701444152795
混合设备,1081,1,0,0,3556,0.5023786690059441
锂离子电池用材料,1121,1,0,0,400,0.4947690225194147
六氟磷酸锂,1147,1,0,0,96,1.1088177243008004
锂盐销售,1173,1,0,0,400,0.5097333332420634
氟化锂,1241,1,0,0,400,0.5142194418580448
锂电池装备,1406,1,0,0,3556,0.5114890486726377
锂离子电池用负极材料,1454,1,0,0,326,0.46621412303807924
锂电池,1496,0,1,1,396,3.441718948608128
锂化合物,1568,1,0,0,400,0.4899781379957343
锂云母,1585,1,0,0,400,0.85720434960615
锂电设备,1683,1,0,0,3556,0.9059190369897093
锂盐系列,1703,1,0,0,400,0.5142194418580448
氢氧化锂,1719,1,0,0,400,0.46362260400455907
金属锂系列,1721,1,0,0,400,0.511075505809222
电池级碳酸锂,1722,1,0,0,400,0.4691584284094542
锂电池化学品,1805,1,0,0,400,0.5027846775911542
卷绕机,1824,1,0,0,3556,0.4944399126136034
磷酸铁锂,1830,1,0,0,105,0.9375406560802533
锂精矿销售,1834,1,0,0,400,0.4805797583577426
锂材,1901,1,0,0,400,0.511075505809222
碳酸锂,1985,1,0,0,400,1.4640526055930225
锂电池设备,1994,1,0,0,3556,0.8673878203666605
锂离子电池应急电源,2029,0,0,1,396,0.49668204839872
注液机,2044,1,0,0,3556,0.7705044427807879
锂原电池,2079,0,0,1,396,0.509245977450813
锂电池系列,2106,0,0,1,396,0.5161563676782239
锂离子电池制造,2195,0,0,1,396,0.48863002934286504
锂电池储能系统,2216,0,0,1,396,0.49326673670721277
碳纳米管粉体,2231,1,0,0,326,0.48094055257097024
储能,2300,0,0,1,396,0.6154237584351336
磷酸锰铁锂及制品,2376,1,0,0,326,0.4589410826812788
锂矿,2468,1,0,0,400,0.46396849916023636
锂电池材料,2505,1,0,0,326,2.2360383162380124
锂离子蓄电池组,2520,0,1,0,396,0.5179755678424819
无水氯化锂,2548,1,0,0,400,0.493122074044557
一次锂离子电池,2580,0,0,1,396,0.4990028116063508
锂电池生产装备,2629,1,0,0,3556,0.5465523391800252
锂离子电池,2645,0,0,1,396,1.076008534790252
氯化锂,2730,1,0,0,400,0.5142194418580448
石墨烯制品,2791,1,0,0,326,0.4817416006529759
锂电池智能装备,2797,1,0,0,3556,0.8179992480689813
锂盐加工销售业务,2859,1,0,0,400,0.49978452395963235
锂离子电池材料,2870,1,0,0,326,0.46370534903555805
锂电正极材料,2952,1,0,0,105,0.6408328192934456
锂亚电池,2965,0,0,1,396,0.509245977450813
磷酸铁锂及制品,2973,1,0,0,326,0.4589410826812788
一次锂电池,3023,0,0,1,396,0.4990028116063508
电解液,3080,1,1,0,96,1.1892684083902842
锂离子电池电解液,3170,0,1,0,96,0.48993945004058026
二次锂离子电池,3199,0,0,1,396,0.4990028116063508
锂衍生,3280,1,0,0,400,0.493122074044557
锂离子电池及其材料,3311,1,0,0,326,0.4717573680914127
锂锰电池,3316,0,0,1,396,0.6713723136902684
一次锂电电池,3407,0,0,1,396,0.4990028116063508
碳酸锂系列,3441,1,0,0,400,0.4902557962229417
锂电材料,3459,1,0,0,326,1.5087316464398695
深加工锂化合物系列,3468,1,0,0,400,0.5142194418580448
锂聚合物组合电池,3549,0,0,1,396,0.509245977450813
新能源汽车,3616,0,0,1,396,1.536910050357225
高纯碳酸锂,3651,1,0,0,400,0.4691584284094542
行星搅拌机,3677,1,0,0,3556,0.49623629690851767
钴酸锂,3685,1,0,0,105,0.7606906841404919
锂二次电池,3694,0,0,1,396,0.509245977450813
汽车,3729,0,0,1,396,0.4873491481486875
新能源,3731,0,0,1,396,2.3384901107718172
涂布机,3732,1,0,0,3556,0.8220195200092282
动力锂电池,3771,0,0,1,396,0.8288960166477503
锂离子电池化学品,3798,1,0,0,96,0.5060721767954344
锂离子电池负极材料,3801,1,0,0,326,0.46621412303807924
锂电池生产设备,3835,1,0,0,3556,0.6732362715373028
锂盐,4022,1,0,0,400,0.9996560053866215
动力锂电池组,4056,0,1,0,396,0.5054116387903886
锂盐加工,4129,1,0,0,400,0.5097333332420634
工业级碳酸锂,4135,1,0,0,400,0.4691584284094542
