,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002734.SZ,20230303,11.19,11.29,11.07,11.13,11.12,0.01,0.0899,46465.8,51878.61
1,002734.SZ,20230302,11.43,11.52,11.1,11.12,11.46,-0.34,-2.9668,79746.92,89405.052
2,002734.SZ,20230301,11.4,11.48,11.31,11.46,11.43,0.03,0.2625,53484.3,60926.861
3,002734.SZ,20230228,11.55,11.61,11.31,11.43,11.54,-0.11,-0.9532,73922.52,84273.889
4,002734.SZ,20230227,11.63,11.76,11.5,11.54,11.71,-0.17,-1.4518,65532.79,76010.798
5,002734.SZ,20230224,11.81,11.95,11.57,11.71,11.81,-0.1,-0.8467,91511.1,106990.132
6,002734.SZ,20230223,11.69,12.08,11.69,11.81,11.74,0.07,0.5963,71297.98,84719.072
7,002734.SZ,20230222,11.63,11.92,11.63,11.74,11.76,-0.02,-0.1701,85780.81,100927.21
8,002734.SZ,20230221,11.91,12.07,11.6,11.76,11.88,-0.12,-1.0101,128903.93,151926.547
9,002734.SZ,20230220,12.05,12.23,11.66,11.88,11.74,0.14,1.1925,121942.75,144839.395
10,002734.SZ,20230217,12.13,12.3,11.63,11.74,12.19,-0.45,-3.6916,202193.1,240287.837
11,002734.SZ,20230216,11.86,12.96,11.86,12.19,12.06,0.13,1.0779,374811.83,466642.504
12,002734.SZ,20230215,11.96,12.17,11.71,12.06,11.82,0.24,2.0305,303647.54,364386.999
13,002734.SZ,20230214,12.12,12.94,11.77,11.82,11.85,-0.03,-0.2532,480537.13,588908.203
14,002734.SZ,20230213,10.75,11.85,10.69,11.85,10.77,1.08,10.0279,458706.54,533189.355
15,002734.SZ,20230210,10.93,11.02,10.7,10.77,11.03,-0.26,-2.3572,156869.1,169837.658
16,002734.SZ,20230209,10.73,11.48,10.66,11.03,10.44,0.59,5.6513,238427.9,266291.565
17,002734.SZ,20230208,10.22,10.56,10.18,10.44,10.21,0.23,2.2527,53500.86,55716.549
18,002734.SZ,20230207,10.19,10.26,10.12,10.21,10.18,0.03,0.2947,17584.43,17886.758
19,002734.SZ,20230206,10.35,10.36,10.1,10.18,10.36,-0.18,-1.7375,19293.84,19671.431
20,002734.SZ,20230203,10.34,10.46,10.23,10.36,10.36,0.0,0.0,29872.84,30845.288
21,002734.SZ,20230202,10.38,10.46,10.28,10.36,10.34,0.02,0.1934,22657.69,23431.58
22,002734.SZ,20230201,10.31,10.39,10.26,10.34,10.27,0.07,0.6816,16432.54,16958.388
23,002734.SZ,20230131,10.21,10.31,10.19,10.27,10.28,-0.01,-0.0973,14236.22,14616.177
24,002734.SZ,20230130,10.34,10.45,10.25,10.28,10.33,-0.05,-0.484,22652.3,23392.023
25,002734.SZ,20230120,10.26,10.34,10.23,10.33,10.27,0.06,0.5842,28716.24,29571.699
26,002734.SZ,20230119,10.09,10.27,10.09,10.27,10.13,0.14,1.382,20910.0,21394.634
27,002734.SZ,20230118,10.09,10.16,10.05,10.13,10.08,0.05,0.496,13658.3,13803.497
28,002734.SZ,20230117,9.99,10.08,9.96,10.08,9.99,0.09,0.9009,15174.64,15200.258
29,002734.SZ,20230116,9.71,10.03,9.71,9.99,9.71,0.28,2.8836,22242.46,22088.869
30,002734.SZ,20230113,9.7,9.88,9.63,9.71,9.68,0.03,0.3099,12409.36,12064.281
31,002734.SZ,20230112,9.77,9.77,9.65,9.68,9.76,-0.08,-0.8197,12728.3,12343.42
32,002734.SZ,20230111,9.92,9.92,9.7,9.76,9.84,-0.08,-0.813,15890.9,15532.756
33,002734.SZ,20230110,10.0,10.0,9.82,9.84,9.91,-0.07,-0.7064,21321.96,21071.064
34,002734.SZ,20230109,10.03,10.05,9.88,9.91,9.98,-0.07,-0.7014,18680.61,18567.75
35,002734.SZ,20230106,9.92,10.03,9.8,9.98,9.88,0.1,1.0121,34313.08,34195.315
36,002734.SZ,20230105,9.74,9.92,9.7,9.88,9.77,0.11,1.1259,19639.34,19343.054
37,002734.SZ,20230104,9.59,9.89,9.59,9.77,9.66,0.11,1.1387,19062.57,18597.867
38,002734.SZ,20230103,9.37,9.68,9.28,9.66,9.36,0.3,3.2051,25941.26,24723.227
39,002734.SZ,20221230,9.41,9.45,9.35,9.36,9.37,-0.01,-0.1067,13565.92,12714.675
40,002734.SZ,20221229,9.42,9.49,9.33,9.37,9.42,-0.05,-0.5308,14762.54,13861.735
41,002734.SZ,20221228,9.49,9.5,9.3,9.42,9.5,-0.08,-0.8421,19657.0,18500.087
42,002734.SZ,20221227,9.45,9.54,9.42,9.5,9.46,0.04,0.4228,15470.59,14657.799
43,002734.SZ,20221226,9.49,9.6,9.35,9.46,9.5,-0.04,-0.4211,24047.44,22676.964
44,002734.SZ,20221223,9.46,9.61,9.31,9.5,9.48,0.02,0.211,16059.71,15208.464
45,002734.SZ,20221222,10.09,10.09,9.42,9.48,10.1,-0.62,-6.1386,36736.86,35528.735
46,002734.SZ,20221221,9.98,10.1,9.86,10.1,9.99,0.11,1.1011,18301.0,18251.932
47,002734.SZ,20221220,10.12,10.12,9.97,9.99,10.08,-0.09,-0.8929,12595.9,12627.165
48,002734.SZ,20221219,10.32,10.38,10.04,10.08,10.33,-0.25,-2.4201,32689.4,33253.241
49,002734.SZ,20221216,10.3,10.54,10.21,10.33,10.32,0.01,0.0969,41916.84,43494.669
50,002734.SZ,20221215,10.13,10.54,10.1,10.32,10.1,0.22,2.1782,49974.21,51553.313
51,002734.SZ,20221214,10.18,10.25,10.02,10.1,10.22,-0.12,-1.1742,29919.4,30262.911
52,002734.SZ,20221213,10.15,10.28,10.01,10.22,10.05,0.17,1.6915,24709.61,25025.05
53,002734.SZ,20221212,10.06,10.14,9.97,10.05,10.07,-0.02,-0.1986,19301.8,19397.083
54,002734.SZ,20221209,10.13,10.13,9.96,10.07,10.05,0.02,0.199,22859.35,22922.855
55,002734.SZ,20221208,10.14,10.17,10.04,10.05,10.13,-0.08,-0.7897,15429.0,15564.971
56,002734.SZ,20221207,10.12,10.18,10.02,10.13,10.12,0.01,0.0988,23512.64,23723.947
57,002734.SZ,20221206,10.18,10.22,10.1,10.12,10.18,-0.06,-0.5894,20784.0,21094.504
58,002734.SZ,20221205,10.16,10.26,10.14,10.18,10.18,0.0,0.0,23394.0,23813.827
59,002734.SZ,20221202,10.25,10.25,10.1,10.18,10.25,-0.07,-0.6829,29001.6,29462.905
60,002734.SZ,20221201,10.27,10.33,10.21,10.25,10.25,0.0,0.0,19757.33,20268.611
61,002734.SZ,20221130,10.33,10.35,10.2,10.25,10.29,-0.04,-0.3887,16985.11,17447.08
62,002734.SZ,20221129,10.05,10.34,10.05,10.29,10.04,0.25,2.49,29496.75,30238.032
63,002734.SZ,20221128,10.09,10.18,9.96,10.04,10.24,-0.2,-1.9531,29983.88,30105.078
64,002734.SZ,20221125,10.61,10.61,10.18,10.24,10.6,-0.36,-3.3962,36998.79,38248.956
65,002734.SZ,20221124,10.03,10.66,10.0,10.6,10.03,0.57,5.683,62403.55,64736.49
66,002734.SZ,20221123,10.27,10.31,10.0,10.03,10.17,-0.14,-1.3766,32899.71,33256.253
67,002734.SZ,20221122,10.35,10.53,10.11,10.17,10.48,-0.31,-2.958,54318.37,56040.463
68,002734.SZ,20221121,10.2,10.86,10.06,10.48,10.2,0.28,2.7451,92005.08,97135.494
69,002734.SZ,20221118,10.39,10.46,10.08,10.2,10.25,-0.05,-0.4878,55115.29,56274.758
70,002734.SZ,20221117,9.96,10.33,9.86,10.25,9.98,0.27,2.7054,42570.93,43010.288
71,002734.SZ,20221116,10.02,10.05,9.96,9.98,10.02,-0.04,-0.3992,23103.85,23099.76
72,002734.SZ,20221115,9.91,10.04,9.9,10.02,9.95,0.07,0.7035,29902.49,29868.332
73,002734.SZ,20221114,9.96,10.02,9.71,9.95,9.95,0.0,0.0,24850.01,24727.191
74,002734.SZ,20221111,9.99,10.04,9.91,9.95,9.87,0.08,0.8105,26501.49,26429.201
75,002734.SZ,20221110,9.93,9.95,9.79,9.87,9.93,-0.06,-0.6042,16315.3,16077.042
76,002734.SZ,20221109,9.81,10.09,9.78,9.93,9.82,0.11,1.1202,29931.81,29781.526
77,002734.SZ,20221108,9.86,9.87,9.69,9.82,9.85,-0.03,-0.3046,20258.46,19788.681
78,002734.SZ,20221107,9.72,9.86,9.65,9.85,9.68,0.17,1.7562,35758.03,34952.227
79,002734.SZ,20221104,9.7,9.8,9.6,9.68,9.7,-0.02,-0.2062,35048.23,34025.304
80,002734.SZ,20221103,9.62,9.96,9.57,9.7,9.72,-0.02,-0.2058,40150.51,38904.384
81,002734.SZ,20221102,9.36,9.78,9.33,9.72,9.37,0.35,3.7353,61679.92,59572.255
82,002734.SZ,20221101,9.3,9.38,9.2,9.37,9.24,0.13,1.4069,25125.36,23380.987
83,002734.SZ,20221031,9.03,9.29,9.02,9.24,9.13,0.11,1.2048,30867.74,28315.199
84,002734.SZ,20221028,9.37,9.39,9.06,9.13,9.43,-0.3,-3.1813,44312.0,40782.136
85,002734.SZ,20221027,9.51,9.55,9.42,9.43,9.51,-0.08,-0.8412,24255.55,23003.254
86,002734.SZ,20221026,9.13,9.53,9.07,9.51,9.07,0.44,4.8512,57191.19,53632.614
87,002734.SZ,20221025,8.99,9.11,8.86,9.07,9.26,-0.19,-2.0518,53238.85,47811.632
88,002734.SZ,20221024,9.45,9.58,9.18,9.26,9.42,-0.16,-1.6985,32175.7,30170.966
89,002734.SZ,20221021,9.54,9.62,9.35,9.42,9.54,-0.12,-1.2579,34037.0,32274.387
90,002734.SZ,20221020,9.6,9.73,9.45,9.54,9.67,-0.13,-1.3444,32990.36,31518.043
91,002734.SZ,20221019,9.65,9.87,9.55,9.67,9.64,0.03,0.3112,51602.18,50298.931
92,002734.SZ,20221018,9.56,9.69,9.49,9.64,9.55,0.09,0.9424,36191.17,34751.492
93,002734.SZ,20221017,9.37,9.56,9.34,9.55,9.46,0.09,0.9514,23261.21,22076.16
94,002734.SZ,20221014,9.42,9.56,9.39,9.46,9.45,0.01,0.1058,43377.25,41016.92
95,002734.SZ,20221013,9.16,9.56,9.09,9.45,9.18,0.27,2.9412,49429.16,46236.173
96,002734.SZ,20221012,8.97,9.19,8.91,9.18,8.98,0.2,2.2272,34511.99,31204.736
97,002734.SZ,20221011,8.76,9.0,8.76,8.98,8.92,0.06,0.6726,24929.16,22193.045
98,002734.SZ,20221010,9.02,9.05,8.79,8.92,8.99,-0.07,-0.7786,26799.51,23892.051
99,002734.SZ,20220930,9.0,9.04,8.91,8.99,9.02,-0.03,-0.3326,26526.92,23819.727
100,002734.SZ,20220929,9.14,9.17,8.96,9.02,9.07,-0.05,-0.5513,24295.41,22069.144
101,002734.SZ,20220928,9.3,9.3,9.05,9.07,9.3,-0.23,-2.4731,29427.41,26967.72
102,002734.SZ,20220927,9.22,9.35,9.13,9.3,9.19,0.11,1.197,27589.0,25476.729
103,002734.SZ,20220926,9.5,9.54,9.12,9.19,9.57,-0.38,-3.9707,55853.3,51820.773
104,002734.SZ,20220923,9.79,9.88,9.53,9.57,9.8,-0.23,-2.3469,35342.78,34190.181
105,002734.SZ,20220922,9.74,9.9,9.7,9.8,9.84,-0.04,-0.4065,35005.0,34386.094
106,002734.SZ,20220921,9.68,9.85,9.41,9.84,9.7,0.14,1.4433,37152.42,35963.429
107,002734.SZ,20220920,9.65,9.85,9.63,9.7,9.6,0.1,1.0417,42028.42,40871.331
108,002734.SZ,20220919,9.74,9.8,9.53,9.6,9.73,-0.13,-1.3361,34848.47,33582.568
109,002734.SZ,20220916,10.11,10.12,9.7,9.73,10.08,-0.35,-3.4722,61598.93,60744.866
110,002734.SZ,20220915,10.26,10.32,9.99,10.08,10.25,-0.17,-1.6585,53865.46,54505.467
111,002734.SZ,20220914,10.42,10.46,10.12,10.25,10.56,-0.31,-2.9356,77166.77,79048.982
112,002734.SZ,20220913,10.75,10.83,10.4,10.56,10.73,-0.17,-1.5843,80429.14,85070.703
113,002734.SZ,20220909,10.76,10.88,10.61,10.73,10.72,0.01,0.0933,30001.2,32193.254
114,002734.SZ,20220908,11.04,11.05,10.68,10.72,10.97,-0.25,-2.2789,55836.9,60139.119
115,002734.SZ,20220907,11.26,11.28,10.91,10.97,11.23,-0.26,-2.3152,65475.1,72267.188
116,002734.SZ,20220906,11.18,11.52,11.13,11.23,11.11,0.12,1.0801,77532.6,87614.463
117,002734.SZ,20220905,11.11,11.18,10.95,11.11,11.12,-0.01,-0.0899,47788.67,52998.328
118,002734.SZ,20220902,11.26,11.26,10.81,11.12,11.13,-0.01,-0.0898,74592.3,82599.047
119,002734.SZ,20220901,11.49,11.49,11.06,11.13,11.35,-0.22,-1.9383,73571.21,82759.865
120,002734.SZ,20220831,11.3,11.69,11.22,11.35,11.29,0.06,0.5314,130928.66,149551.54
121,002734.SZ,20220830,11.34,11.4,11.07,11.29,11.34,-0.05,-0.4409,104694.55,117830.756
122,002734.SZ,20220829,10.67,11.56,10.67,11.34,10.8,0.54,5.0,183020.91,204812.088
123,002734.SZ,20220826,10.49,11.36,10.46,10.8,10.5,0.3,2.8571,225818.01,248843.897
124,002734.SZ,20220825,10.52,10.78,10.18,10.5,10.09,0.41,4.0634,215379.66,225195.68
125,002734.SZ,20220824,10.39,10.4,10.05,10.09,10.35,-0.26,-2.5121,48840.25,49679.71
126,002734.SZ,20220823,10.3,10.42,10.14,10.35,10.23,0.12,1.173,55233.66,56981.749
127,002734.SZ,20220822,10.0,10.26,9.88,10.23,9.97,0.26,2.6078,49382.37,50033.737
128,002734.SZ,20220819,10.14,10.25,9.94,9.97,10.31,-0.34,-3.2978,75262.09,75904.275
129,002734.SZ,20220818,10.38,10.49,10.26,10.31,10.36,-0.05,-0.4826,35801.0,36950.438
130,002734.SZ,20220817,10.46,10.5,10.36,10.36,10.46,-0.1,-0.956,28807.9,29962.641
131,002734.SZ,20220816,10.5,10.55,10.37,10.46,10.4,0.06,0.5769,32243.17,33708.708
132,002734.SZ,20220815,10.45,10.51,10.34,10.4,10.46,-0.06,-0.5736,32486.51,33821.918
133,002734.SZ,20220812,10.47,10.62,10.43,10.46,10.44,0.02,0.1916,50969.86,53716.276
134,002734.SZ,20220811,10.36,10.51,10.27,10.44,10.25,0.19,1.8537,59480.93,61859.548
135,002734.SZ,20220810,10.08,10.3,10.05,10.25,10.13,0.12,1.1846,37389.43,38216.437
136,002734.SZ,20220809,10.07,10.15,9.97,10.13,10.08,0.05,0.496,23978.11,24143.262
