,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600478.SH,20230303,9.26,9.34,9.2,9.31,9.29,0.02,0.2153,143440.74,132988.604
1,600478.SH,20230302,9.54,9.58,9.24,9.29,9.55,-0.26,-2.7225,289673.58,271049.055
2,600478.SH,20230301,9.62,9.62,9.47,9.55,9.57,-0.02,-0.209,134361.68,128067.022
3,600478.SH,20230228,9.53,9.58,9.44,9.57,9.47,0.1,1.056,135899.75,129245.013
4,600478.SH,20230227,9.48,9.56,9.22,9.47,9.58,-0.11,-1.1482,273508.08,257310.214
5,600478.SH,20230224,9.8,9.8,9.51,9.58,9.79,-0.21,-2.145,246997.77,237205.193
6,600478.SH,20230223,9.66,9.84,9.63,9.79,9.66,0.13,1.3458,228427.75,222275.239
7,600478.SH,20230222,9.75,9.8,9.6,9.66,9.82,-0.16,-1.6293,250764.0,242577.502
8,600478.SH,20230221,9.95,9.95,9.71,9.82,9.92,-0.1,-1.0081,260767.76,255608.408
9,600478.SH,20230220,10.01,10.01,9.66,9.92,10.02,-0.1,-0.998,266966.86,262234.705
10,600478.SH,20230217,10.12,10.29,9.92,10.02,10.13,-0.11,-1.0859,288824.78,290615.809
11,600478.SH,20230216,10.58,10.58,10.0,10.13,10.58,-0.45,-4.2533,380391.59,391982.757
12,600478.SH,20230215,10.47,10.72,10.41,10.58,10.47,0.11,1.0506,371916.17,393012.523
13,600478.SH,20230214,10.5,10.54,10.36,10.47,10.5,-0.03,-0.2857,229885.12,239870.095
14,600478.SH,20230213,10.25,10.52,10.16,10.5,10.17,0.33,3.2448,453636.35,473352.825
15,600478.SH,20230210,10.25,10.33,10.11,10.17,10.26,-0.09,-0.8772,255725.59,260772.363
16,600478.SH,20230209,10.08,10.31,10.03,10.26,10.08,0.18,1.7857,390326.6,398533.874
17,600478.SH,20230208,10.28,10.28,10.02,10.08,10.2,-0.12,-1.1765,218574.84,221537.398
18,600478.SH,20230207,9.88,10.3,9.78,10.2,9.84,0.36,3.6585,376916.68,380121.39
19,600478.SH,20230206,9.95,10.01,9.75,9.84,9.95,-0.11,-1.1055,259601.23,255985.499
20,600478.SH,20230203,10.16,10.16,9.82,9.95,10.19,-0.24,-2.3553,339339.37,337803.244
21,600478.SH,20230202,10.28,10.28,10.13,10.19,10.29,-0.1,-0.9718,229262.53,233546.182
22,600478.SH,20230201,10.25,10.33,10.15,10.29,10.26,0.03,0.2924,328832.39,335949.886
23,600478.SH,20230131,10.07,10.34,9.8,10.26,9.95,0.31,3.1156,464661.79,471735.153
24,600478.SH,20230130,10.29,10.3,9.92,9.95,9.88,0.07,0.7085,390291.65,394078.018
25,600478.SH,20230120,9.5,9.96,9.5,9.88,9.5,0.38,4.0,308174.82,302135.237
26,600478.SH,20230119,9.61,9.64,9.47,9.5,9.64,-0.14,-1.4523,180212.32,171501.145
27,600478.SH,20230118,9.63,9.73,9.45,9.64,9.46,0.18,1.9027,216655.96,207748.597
28,600478.SH,20230117,9.46,9.57,9.41,9.46,9.47,-0.01,-0.1056,136534.5,129552.57
29,600478.SH,20230116,9.41,9.59,9.34,9.47,9.49,-0.02,-0.2107,209404.03,198236.32
30,600478.SH,20230113,9.62,9.72,9.43,9.49,9.63,-0.14,-1.4538,185169.43,175925.545
31,600478.SH,20230112,9.71,9.84,9.59,9.63,9.71,-0.08,-0.8239,139236.7,134758.794
32,600478.SH,20230111,9.89,9.98,9.68,9.71,9.93,-0.22,-2.2155,219746.33,214755.293
33,600478.SH,20230110,10.01,10.1,9.87,9.93,9.99,-0.06,-0.6006,235162.59,233951.271
34,600478.SH,20230109,10.0,10.19,9.95,9.99,9.95,0.04,0.402,284957.13,286597.071
35,600478.SH,20230106,9.61,10.2,9.56,9.95,9.62,0.33,3.4304,486577.32,484681.083
36,600478.SH,20230105,9.5,9.71,9.44,9.62,9.48,0.14,1.4768,238260.45,228757.462
37,600478.SH,20230104,9.7,9.7,9.38,9.48,9.7,-0.22,-2.268,245587.82,234049.844
38,600478.SH,20230103,9.37,9.8,9.35,9.7,9.38,0.32,3.4115,357296.59,343487.149
39,600478.SH,20221230,9.38,9.53,9.29,9.38,9.31,0.07,0.7519,156511.12,147603.158
40,600478.SH,20221229,9.48,9.58,9.3,9.31,9.5,-0.19,-2.0,152777.43,143664.976
41,600478.SH,20221228,9.63,9.66,9.32,9.5,9.67,-0.17,-1.758,164070.62,155950.912
42,600478.SH,20221227,9.76,9.88,9.49,9.67,9.77,-0.1,-1.0235,212123.84,204674.782
43,600478.SH,20221226,9.34,9.79,9.24,9.77,9.38,0.39,4.1578,242700.95,233191.942
44,600478.SH,20221223,9.51,9.61,9.2,9.38,9.54,-0.16,-1.6771,281674.04,263517.836
45,600478.SH,20221222,10.27,10.27,9.45,9.54,10.1,-0.56,-5.5446,393253.99,384783.249
46,600478.SH,20221221,9.8,10.25,9.7,10.1,9.79,0.31,3.1665,342887.18,344201.846
47,600478.SH,20221220,9.5,9.89,9.5,9.79,9.58,0.21,2.1921,285864.07,279456.475
48,600478.SH,20221219,9.48,9.87,9.48,9.58,9.59,-0.01,-0.1043,263219.95,254208.014
49,600478.SH,20221216,10.06,10.06,9.5,9.59,10.06,-0.47,-4.672,362821.32,352696.174
50,600478.SH,20221215,9.93,10.11,9.82,10.06,10.01,0.05,0.4995,241182.63,240583.81
51,600478.SH,20221214,10.04,10.24,9.94,10.01,10.02,-0.01,-0.0998,279067.71,280996.959
52,600478.SH,20221213,10.43,10.55,10.0,10.02,10.49,-0.47,-4.4805,421762.77,430550.534
53,600478.SH,20221212,10.75,10.82,10.45,10.49,10.77,-0.28,-2.5998,277549.91,292481.452
54,600478.SH,20221209,10.61,10.77,10.35,10.77,10.61,0.16,1.508,448662.02,474766.141
55,600478.SH,20221208,10.68,10.91,10.42,10.61,10.73,-0.12,-1.1184,289359.14,308492.874
56,600478.SH,20221207,10.71,11.09,10.66,10.73,10.82,-0.09,-0.8318,361277.34,391097.903
57,600478.SH,20221206,10.91,11.05,10.61,10.82,11.06,-0.24,-2.17,457240.26,495216.011
