,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,835185.BJ,20230303,46.0,46.72,45.01,46.14,48.3,-2.16,-4.472,12867.69,59026.591
1,835185.BJ,20230302,49.0,49.15,47.8,48.3,48.93,-0.63,-1.2876,5962.66,28852.19
2,835185.BJ,20230301,48.86,49.2,48.68,48.93,49.2,-0.27,-0.5488,4268.73,20826.085
3,835185.BJ,20230228,48.85,49.24,48.3,49.2,48.42,0.78,1.6109,5056.2,24722.601
4,835185.BJ,20230227,47.8,48.9,47.8,48.42,48.08,0.34,0.7072,3777.87,18261.641
5,835185.BJ,20230224,47.41,48.08,46.98,48.08,47.54,0.54,1.1359,3439.04,16284.091
6,835185.BJ,20230223,48.1,48.1,47.41,47.54,48.1,-0.56,-1.1642,4864.35,23143.188
7,835185.BJ,20230222,49.0,49.0,47.98,48.1,49.36,-1.26,-2.5527,8716.16,42195.595
8,835185.BJ,20230221,49.63,50.2,49.17,49.36,49.53,-0.17,-0.3432,4921.82,24407.648
9,835185.BJ,20230220,49.38,49.97,49.18,49.53,49.28,0.25,0.5073,6074.8,30067.802
10,835185.BJ,20230217,50.84,51.47,49.0,49.28,51.0,-1.72,-3.3725,8575.8,42738.121
11,835185.BJ,20230216,53.58,53.58,50.45,51.0,53.2,-2.2,-4.1353,11664.63,60889.904
12,835185.BJ,20230215,53.4,54.89,53.12,53.2,53.02,0.18,0.3395,8262.69,44450.014
13,835185.BJ,20230214,52.7,53.96,52.18,53.02,53.01,0.01,0.0189,5479.8,29159.756
14,835185.BJ,20230213,53.0,56.09,52.88,53.01,52.32,0.69,1.3188,12873.75,70007.45
15,835185.BJ,20230210,52.68,53.22,51.89,52.32,52.28,0.04,0.0765,4883.1,25616.794
16,835185.BJ,20230209,51.92,52.36,51.53,52.28,51.89,0.39,0.7516,3590.75,18669.652
17,835185.BJ,20230208,52.24,52.24,50.56,51.89,51.13,0.76,1.4864,4360.2,22486.456
18,835185.BJ,20230207,50.35,52.0,50.06,51.13,50.21,0.92,1.8323,4919.46,25191.385
19,835185.BJ,20230206,50.3,51.22,50.2,50.21,51.29,-1.08,-2.1057,5460.09,27562.72
20,835185.BJ,20230203,52.05,52.1,50.7,51.29,51.85,-0.56,-1.08,8593.98,44106.367
21,835185.BJ,20230202,53.9,53.9,51.51,51.85,53.9,-2.05,-3.8033,11899.48,62680.602
22,835185.BJ,20230201,52.51,56.29,51.0,53.9,52.25,1.65,3.1579,20818.98,112217.189
23,835185.BJ,20230131,48.5,52.71,47.8,52.25,47.35,4.9,10.3485,19366.85,97300.409
24,835185.BJ,20230130,48.8,49.8,47.03,47.35,47.89,-0.54,-1.1276,12092.75,58799.324
25,835185.BJ,20230120,47.91,48.19,46.88,47.89,47.79,0.1,0.2092,5875.11,27953.82
26,835185.BJ,20230119,47.32,47.97,47.01,47.79,47.32,0.47,0.9932,5871.77,27941.535
27,835185.BJ,20230118,46.29,47.65,45.64,47.32,46.05,1.27,2.7579,7141.7,33706.812
28,835185.BJ,20230117,46.1,46.67,45.2,46.05,46.1,-0.05,-0.1085,6776.85,31217.118
29,835185.BJ,20230116,44.99,46.1,44.22,46.1,44.7,1.4,3.132,6028.35,27434.072
30,835185.BJ,20230113,42.91,45.0,42.91,44.7,43.2,1.5,3.4722,9478.0,41926.452
31,835185.BJ,20230112,42.61,43.63,42.61,43.2,42.48,0.72,1.6949,5152.33,22277.578
32,835185.BJ,20230111,42.86,43.85,42.4,42.48,43.3,-0.82,-1.8938,4033.02,17402.479
33,835185.BJ,20230110,42.47,43.48,42.31,43.3,42.49,0.81,1.9063,4063.99,17428.657
34,835185.BJ,20230109,42.3,42.84,42.01,42.49,42.25,0.24,0.568,3061.78,13015.659
35,835185.BJ,20230106,41.89,42.5,41.5,42.25,42.02,0.23,0.5474,5366.6,22654.608
36,835185.BJ,20230105,41.48,42.08,40.68,42.02,41.29,0.73,1.768,8442.26,34876.283
37,835185.BJ,20230104,41.11,41.78,40.88,41.29,41.6,-0.31,-0.7452,4822.24,19833.427
38,835185.BJ,20230103,41.57,41.79,40.83,41.6,41.63,-0.03,-0.0721,3243.18,13409.088
39,835185.BJ,20221230,41.67,42.1,41.47,41.63,41.48,0.15,0.3616,2317.49,9665.92
40,835185.BJ,20221229,41.9,42.29,41.48,41.48,41.9,-0.42,-1.0024,3389.69,14139.248
